(786.5823, 9248.619)
(788.5881, 9309.27)
(790.5906, 9370.091)
(792.5898, 9431.083)
(794.5857, 9492.246)
(796.5782, 9553.579)
(798.5674, 9615.082)
(800.5533, 9676.755)
(802.5359, 9738.597)
(804.5153, 9800.608)
(806.4913, 9862.789)
(808.464, 9925.138)
(810.4334, 9987.655)
(812.3995, 10050.34)
(814.3624, 10113.19)
(816.322, 10176.21)
(818.2783, 10239.4)
(820.2313, 10302.76)
(822.1811, 10366.28)
(824.1276, 10429.96)
(826.0709, 10493.82)
(828.011, 10557.84)
(829.9478, 10622.02)
(831.8814, 10686.37)
(833.8118, 10750.89)
(835.739, 10815.57)
(837.6629, 10880.41)
(839.5836, 10945.42)
(841.5012, 11010.59)
(843.4155, 11075.93)
(845.3267, 11141.43)
(847.2346, 11207.09)
(849.1394, 11272.91)
(851.041, 11338.9)
(852.9395, 11405.05)
(854.8347, 11471.36)
(856.7268, 11537.84)
(858.6158, 11604.47)
(860.5016, 11671.27)
(862.3843, 11738.22)
(864.2638, 11805.34)
(866.1402, 11872.62)
(868.0135, 11940.06)
(869.8837, 12007.66)
(871.7507, 12075.41)
(873.6147, 12143.33)
(875.4755, 12211.41)
(877.3333, 12279.64)
(879.1879, 12348.03)
(881.0394, 12416.58)
(882.8878, 12485.29)
(884.7332, 12554.16)
(886.5754, 12623.18)
(888.4147, 12692.37)
(890.2509, 12761.71)
(892.0839, 12831.2)
(893.9139, 12900.85)
(895.7409, 12970.66)
(897.5648, 13040.62)
(899.3857, 13110.74)
(901.2036, 13181.02)
(903.0184, 13251.45)
(904.8303, 13322.03)
(906.639, 13392.77)
(908.4448, 13463.66)
(910.2476, 13534.71)
(912.0474, 13605.91)
(913.8441, 13677.27)
(915.6379, 13748.77)
(917.4286, 13820.44)
(919.2164, 13892.25)
(921.0012, 13964.22)
(922.7831, 14036.33)
(924.562, 14108.61)
(926.3378, 14181.03)
(928.1108, 14253.6)
(929.8808, 14326.33)
(931.6478, 14399.2)
(933.4119, 14472.23)
(935.1731, 14545.41)
(936.9313, 14618.74)
(938.6866, 14692.21)
(940.439, 14765.84)
(942.1885, 14839.62)
(943.935, 14913.55)
(945.6786, 14987.62)
(947.4193, 15061.85)
(949.1571, 15136.22)
